SeqNo;Type;DHID;Parent;Name;Latitude;Longitude;MunicipalityCode;Municipality;DistrictCode;District;Description;Authority;DelfiName;THID;TariffProvider;LastOperationDate;SEV
246054;Q;de:09671:99157:0:2;de:09671:99157;Oberafferbach, Am Kreuz, Mast 2;50,026134;9,134582;00000000;-;-;-;;BEG;-;-;-;;nein
246055;S;de:09671:99158;de:09671:99158;Oberafferbach, Am Sportplatz;50,020836;9,130126;09671133;Johannesberg;;;;BEG;-;D925C7018356;-;2026-12-12T00:00:00;nein
246056;Q;de:09671:99158:0:1;de:09671:99158;Oberafferbach, Am Sportplatz, Mast 1;50,02087;9,130396;00000000;-;-;-;;BEG;-;-;-;;nein
246057;Q;de:09671:99158:0:2;de:09671:99158;Oberafferbach, Am Sportplatz, Mast 2;50,02087;9,130396;00000000;-;-;-;;BEG;-;-;-;;nein
246058;Q;de:09671:99158:0:3;de:09671:99158;Oberafferbach, Ersatz Sattelhecke 03;50,019277;9,125608;00000000;-;-;-;;BEG;-;-;-;;nein
246059;Q;de:09671:99158:0:4;de:09671:99158;Oberafferbach, Ersatz Sattelhecke 04;50,019277;9,125608;00000000;-;-;-;;BEG;-;-;-;;nein
246060;S;de:09671:99159;de:09671:99159;Oberafferbach, Dreschhalle;50,022942;9,133082;09671133;Johannesberg;;;;BEG;-;D925C7018357;-;2026-12-12T00:00:00;nein
246061;Q;de:09671:99159:0:1;de:09671:99159;Oberafferbach, Dreschhalle, Mast 1;50,022896;9,133189;00000000;-;-;-;;BEG;-;-;-;;nein
246062;Q;de:09671:99159:0:2;de:09671:99159;Oberafferbach, Dreschhalle, Mast 2;50,022931;9,132938;00000000;-;-;-;;BEG;-;-;-;;nein
246063;S;de:09671:99160;de:09671:99160;Oberafferbach, Rückersbacher Str.;50,026047;9,134214;09671133;Johannesberg;;;;BEG;-;D925C7018358;-;2026-12-12T00:00:00;nein
246064;Q;de:09671:99160:0:1;de:09671:99160;Oberafferbach, Rückersbacher Str., Mast;50,026053;9,134303;00000000;-;-;-;;BEG;-;-;-;;nein
246065;S;de:09671:99161;de:09671:99161;Steinbach (b Aschaffenb), Alte Schule;50,01541;9,117954;09671133;Johannesberg;;;;BEG;-;D925C7018359;-;2026-12-12T00:00:00;nein
